dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003216,24.625000,0.003704,0.148148,2.962963,59.259259,0.000305
0.050000,0.016608,24.625013,0.017096,0.267839,2.393808,-11.383108,0.001570
0.050000,0.043412,24.625089,0.043899,0.536072,5.364665,59.417151,0.004082
0.050000,0.083666,24.625328,0.084154,0.805092,5.380411,0.314917,0.007806
0.050000,0.137427,24.625880,0.137918,1.075288,5.403917,0.470117,0.012690
0.050000,0.204771,24.626936,0.205270,1.347040,5.435035,0.622364,0.018665
0.050000,0.285787,24.628733,0.286306,1.620717,5.473552,0.770332,0.025645
0.050000,0.380579,24.631541,0.381140,1.896676,5.519176,0.912488,0.033530
0.050000,0.489264,24.635662,0.489903,2.175253,5.571534,1.047170,0.042201
0.050000,0.611967,24.641422,0.612741,2.456761,5.630169,1.172688,0.051530
0.050000,0.748822,24.649162,0.749815,2.741489,5.694544,1.287506,0.061373
0.050000,0.899972,24.659234,0.901300,3.029692,5.764066,1.390428,0.071575
0.050000,1.065562,24.671983,1.067380,3.321597,5.838106,1.480813,0.081973
0.050000,1.245743,24.687745,1.248250,3.617400,5.916046,1.558790,0.092392
0.050000,1.440674,24.706833,1.444113,3.917265,5.997317,1.625417,0.102653
0.050000,1.650518,24.729523,1.655180,4.221338,6.081457,1.682814,0.112568
0.050000,1.875448,24.756043,1.881667,4.529747,6.168168,1.734225,0.121945
0.050000,2.115647,24.786562,2.123798,4.842615,6.257370,1.784028,0.130585
0.050000,2.371319,24.821175,2.381802,5.160078,6.349255,1.837709,0.138285
0.050000,2.642686,24.859886,2.655916,5.482295,6.444345,1.901797,0.144832
0.050000,2.930003,24.902595,2.946390,5.809472,6.543536,1.983815,0.150008
0.050000,3.233558,24.949080,3.253484,6.141879,6.648147,2.092227,0.153578
0.050000,3.553688,24.998973,3.577478,6.479878,6.759968,2.236408,0.155296
0.050000,3.890780,25.051742,3.918675,6.823943,6.881298,2.426604,0.154890
0.050000,4.245286,25.106655,4.277410,7.174692,7.014988,2.673813,0.152064
0.050000,4.617731,25.162753,4.654055,7.532915,7.164460,2.989436,0.146486
0.050000,5.008714,25.218799,5.049035,7.899599,7.333682,3.384430,0.137778
0.050000,5.415098,25.272744,5.458984,8.198977,5.987557,-26.922490,0.125640
0.050000,5.829781,25.321946,5.876575,8.351825,3.056952,-58.612112,0.110000
0.050000,6.249231,25.364324,6.298160,8.431701,1.597534,-29.188358,0.090807
0.050000,6.673648,25.398200,6.723927,8.515338,1.672729,1.503904,0.067895
