dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003816,4.625000,0.003704,0.148148,2.962963,59.259259,6.282957
0.050000,0.019696,4.624988,0.019584,0.317610,3.389230,8.525336,6.282010
0.050000,0.051442,4.624921,0.051330,0.634916,6.346126,59.137916,6.280129
0.050000,0.099023,4.624709,0.098911,0.951617,6.334023,-0.242043,6.277341
0.050000,0.162391,4.624223,0.162282,1.267415,6.315952,-0.361425,6.273686
0.050000,0.241487,4.623294,0.241382,1.582015,6.292014,-0.478766,6.269218
0.050000,0.336230,4.621722,0.336139,1.895133,6.262350,-0.593277,6.264002
0.050000,0.446528,4.619280,0.446463,2.206490,6.227144,-0.704123,6.258117
0.050000,0.572268,4.615717,0.572255,2.515821,6.186621,-0.810458,6.251652
0.050000,0.713326,4.610774,0.713398,2.822873,6.141047,-0.911475,6.244709
0.050000,0.869557,4.604183,0.869769,3.127410,6.090723,-1.006493,6.237400
0.050000,1.040807,4.595681,1.041229,3.429208,6.035970,-1.095052,6.229847
0.050000,1.226905,4.585021,1.227632,3.728064,5.977119,-1.177012,6.222179
0.050000,1.427671,4.571977,1.428822,4.023788,5.914486,-1.252662,6.214537
0.050000,1.642915,4.556356,1.644632,4.316206,5.848345,-1.322815,6.207067
0.050000,1.872441,4.538010,1.874890,4.605151,5.778901,-1.388882,6.199924
0.050000,2.116046,4.516844,2.119413,4.890463,5.706255,-1.452936,6.193270
0.050000,2.373527,4.492828,2.378012,5.171982,5.630368,-1.517735,6.187272
0.050000,2.644681,4.466007,2.650488,5.449533,5.551031,-1.586739,6.182107
0.050000,2.929303,4.436512,2.936635,5.722925,5.467826,-1.664095,6.177960
0.050000,3.227192,4.404572,3.236231,5.991930,5.380096,-1.754606,6.175027
0.050000,3.538148,4.370528,3.549045,6.256275,5.286912,-1.863677,6.173513
0.050000,3.861969,4.334844,3.874826,6.515628,5.187050,-1.997231,6.173642
0.050000,4.198450,4.298124,4.213305,6.769576,5.078973,-2.161556,6.175652
0.050000,4.547375,4.261128,4.564186,7.017617,4.960821,-2.363025,6.179808
0.050000,4.908508,4.224791,4.927143,7.259139,4.830442,-2.607586,6.186397
0.050000,5.281583,4.190245,5.301814,7.493412,4.685451,-2.899832,6.195742
0.050000,5.662733,4.159105,5.684234,7.648400,3.099759,-31.713838,6.208074
0.050000,6.044610,4.133211,6.066988,7.655079,0.133584,-59.323496,6.223401
0.050000,6.423508,4.113911,6.446377,7.587782,-1.345939,-29.590466,6.241717
0.050000,6.799233,4.102243,6.822283,7.518121,-1.393230,-0.945816,6.263127
0.050000,7.171525,4.099248,7.194587,7.446091,-1.440593,-0.947256,0.004552
0.050000,7.540060,4.105957,7.563183,7.371906,-1.483702,-0.862184,0.032456
0.050000,7.904446,4.123382,7.927985,7.296060,-1.516925,-0.664457,0.063729
0.050000,8.264240,4.152500,8.288955,7.219396,-1.533275,-0.327008,0.098407
0.050000,8.618951,4.194236,8.646114,7.143166,-1.524603,0.173452,0.136469
0.050000,8.968065,4.249446,8.999566,7.069058,-1.482147,0.849121,0.177822
0.050000,9.311065,4.318892,9.349525,6.999180,-1.397561,1.691724,0.222277
0.050000,9.647451,4.403230,9.696323,6.935960,-1.264411,2.663001,0.269539
0.050000,9.976632,4.502951,10.040277,6.879075,-1.137705,2.534113,0.319177
0.050000,10.295140,4.617241,10.378670,6.767855,-2.224385,-21.733596,0.370165
0.050000,10.597265,4.743360,10.706062,6.547833,-4.400452,-43.521336,0.420907
0.050000,10.880733,4.878741,11.020199,6.282743,-5.301799,-18.026946,0.470265
0.050000,11.146209,5.021706,11.321722,6.030464,-5.045571,5.124565,0.517670
0.050000,11.394389,5.170553,11.611117,5.787895,-4.851380,3.883820,0.562690
0.050000,11.625987,5.323597,11.888713,5.551933,-4.719236,2.642880,0.605033
0.050000,11.841712,5.479200,12.154702,5.319763,-4.643404,1.516630,0.644528
0.050000,12.042270,5.635796,12.409153,5.089028,-4.614711,0.573868,0.681112
0.050000,12.228349,5.791912,12.652048,4.857893,-4.622699,-0.159766,0.714802
0.050000,12.400619,5.946186,12.883299,4.625031,-4.657230,-0.690619,0.745675
0.050000,12.559727,6.097365,13.102777,4.389560,-4.709432,-1.044034,0.773847
0.050000,12.706289,6.244320,13.310325,4.150955,-4.772099,-1.253337,0.799456
0.050000,12.840890,6.386033,13.505773,3.908969,-4.839718,-1.352395,0.822652
0.050000,12.964082,6.521598,13.688951,3.663554,-4.908288,-1.371390,0.843588
0.050000,13.076375,6.650216,13.859691,3.414802,-4.975046,-1.335161,0.862411
0.050000,13.102528,6.675074,13.895773,0.721644,-53.863165,-977.762382,0.988078
0.050000,13.019697,6.487231,14.101068,4.105902,67.685152,2430.966335,1.315627
0.050000,12.999487,6.319810,14.269705,3.372725,-14.663525,-1646.973535,1.597099
0.050000,13.004085,6.267891,14.321827,1.042443,-46.605653,-638.842554,1.761388
0.050000,12.994788,6.305465,14.360534,0.774147,-5.365912,824.794805,1.831729
0.050000,12.970265,6.393998,14.452400,1.837323,21.263518,532.588598,1.841652
0.050000,12.939493,6.510262,14.572668,2.405358,11.360699,-198.056368,1.813157
0.050000,12.911132,6.638357,14.703864,2.623925,4.371348,-139.787030,1.761770
0.050000,12.890755,6.763572,14.830727,2.537261,-1.733292,-122.092800,1.701061
0.050000,12.879732,6.871374,14.939091,2.167265,-7.399908,-113.332313,1.643633
0.050000,12.875740,6.949387,15.017206,1.562315,-12.099014,-93.982121,1.599930
0.050000,12.875030,6.989826,15.057651,0.808895,-15.068392,-59.387552,1.576698
0.050000,12.875000,7.000000,15.067826,0.203487,-12.108161,59.204618,1.570796
