dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003302,2.375000,0.003704,0.148148,2.962963,59.259259,6.282957
0.050000,0.017052,2.374990,0.017453,0.274983,2.536696,-8.525345,6.282010
0.050000,0.044565,2.374932,0.044966,0.550269,5.505723,59.380550,6.280129
0.050000,0.085873,2.374748,0.086274,0.826160,5.517820,0.241943,6.277341
0.050000,0.141019,2.374324,0.141422,1.102954,5.535885,0.361289,6.273686
0.050000,0.210061,2.373513,0.210469,1.380945,5.559815,0.478604,6.269218
0.050000,0.293071,2.372136,0.293490,1.660419,5.589470,0.593108,6.264002
0.050000,0.390129,2.369987,0.390573,1.941652,5.624669,0.703968,6.258117
0.050000,0.501330,2.366836,0.501818,2.224911,5.665186,0.810333,6.251652
0.050000,0.626776,2.362439,0.627341,2.510449,5.710755,0.911400,6.244709
0.050000,0.766577,2.356540,0.767266,2.798503,5.761080,1.006485,6.237400
0.050000,0.920851,2.348881,0.921731,3.089295,5.815836,1.095121,6.229847
0.050000,1.089726,2.339207,1.090882,3.383030,5.874694,1.177165,6.222179
0.050000,1.273334,2.327276,1.274877,3.679897,5.937339,1.252900,6.214537
0.050000,1.471815,2.312871,1.473881,3.980071,6.003496,1.323129,6.207067
0.050000,1.685320,2.295804,1.688067,4.283719,6.072958,1.389256,6.199924
0.050000,1.914008,2.275933,1.917617,4.591001,6.145625,1.453339,6.193270
0.050000,2.158053,2.253170,2.162720,4.902077,6.221532,1.518132,6.187272
0.050000,2.417642,2.227491,2.423577,5.217121,6.300886,1.587079,6.182107
0.050000,2.692984,2.198957,2.700393,5.536326,6.384101,1.664312,6.177960
0.050000,2.984310,2.167720,2.993389,5.859918,6.471832,1.754616,6.175027
0.050000,3.291880,2.134046,3.302797,6.188168,6.565001,1.863375,6.173513
0.050000,3.615989,2.098330,3.628868,6.521409,6.664825,1.996478,6.173642
0.050000,3.956967,2.061120,3.971870,6.860051,6.772833,2.160169,6.175652
0.050000,4.315189,2.023140,4.332100,7.204595,6.890872,2.360765,6.179808
0.050000,4.691074,1.985322,4.709882,7.555649,7.021078,2.604133,6.186397
0.050000,5.085085,1.948842,5.105579,7.913939,7.165816,2.894754,6.195742
0.050000,5.493892,1.915449,5.515747,8.203351,5.788242,-27.551470,6.208074
0.050000,5.910174,1.887231,5.932985,8.344764,2.828256,-59.199724,6.223401
0.050000,6.330230,1.865845,6.353585,8.411994,1.344598,-29.673154,6.241717
0.050000,6.754105,1.852696,6.777663,8.481574,1.391591,0.939854,6.263127
0.050000,7.181766,1.849272,7.205339,8.553505,1.438630,0.940773,0.004552
0.050000,7.613073,1.857142,7.636718,8.627575,1.481395,0.855303,0.032456
0.050000,8.047740,1.877949,8.071882,8.703288,1.514267,0.657439,0.063729
